movie_id,imdb_id,title,year,genre,director,actors,plot,imdb_rating
1,tt0107362,Last Action Hero,1993,"Action, Adventure, Comedy",John McTiernan,"Arnold Schwarzenegger, F. Murray Abraham, Art Carney","With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character.",6.5
2,tt21191806,Back in Action,2025,"Action, Comedy",Seth Gordon,"Jamie Foxx, Cameron Diaz, McKenna Roberts",Former CIA spies Emily and Matt are pulled back into espionage after their secret identities are exposed.,5.9
3,tt0318155,Looney Tunes: Back in Action,2003,"Animation, Adventure, Comedy",Joe Dante,"Brendan Fraser, Jenna Elfman, Steve Martin",Bugs Bunny and Daffy Duck team up with an aspiring stuntman and a studio executive in order to rescue the stuntman's missing father and locate a mythical diamond before the head of a major conglomerate uses it for his own wicked d...,5.8
4,tt15600222,An Action Hero,2022,"Action, Comedy, Crime",Anirudh Iyer,"Ayushmann Khurrana, Jaideep Ahlawat, Gautam Joglekar","A murder accusation turns a movie star's own life into an eccentric action thriller as he flees the country, with a vengeful politician hot on his heels.",7.0
5,tt0120633,A Civil Action,1998,"Biography, Drama",Steven Zaillian,"John Travolta, Robert Duvall, Kathleen Quinlan","At the risk of bankrupting his firm and career, lawyer Jan Schlichtman takes on a case involving two companies responsible for causing children to be diagnosed with leukemia due to the town's contaminated water supply.",6.6
6,tt0087727,Missing in Action,1984,"Action, Adventure, Drama",Joseph Zito,"Chuck Norris, M. Emmet Walsh, David Tress",Colonel Braddock launches a mission deep into the jungles of Vietnam to find the POW camp that he escaped from and free the Americans still held captive there.,5.4
7,tt0094612,Action Jackson,1988,"Action, Comedy, Crime",Craig R. Baxley,"Carl Weathers, Craig T. Nelson, Vanity",Vengeance drives a tough Detroit cop to stay on the trail of a power-hungry auto magnate who is systematically eliminating his competition.,5.6
8,tt6495770,Action Point,2018,Comedy,Tim Kirkby,"Johnny Knoxville, Eleanor Worthington-Cox, Chris Pontius",A daredevil designs and operates his own theme park with his friends.,5.1
9,tt13423846,321 Action,2020,Drama,Shady Al Ramly,"Rakan Abdulwahed, Dyler, Majed Fawaz",A solitary actress devoted to caring for her daughter decides to return to acting with a new movie; many comedic ironies occur during the filming of this new film.,1.0
10,tt0089604,Missing in Action 2: The Beginning,1985,"Action, Drama, Thriller",Lance Hool,"Chuck Norris, Soon-Tek Oh, Steven Williams","Prequel to the first Missing In Action, set in the early 1980s it shows the capture of Colonel Braddock during the Vietnam war in the 1970s, and his captivity with other American POWs in a brutal prison camp, and his plans to escape.",5.3
